"City","Monument","Type","Year"
"Augusta","Confederate Monument","Monument","1965"
"Beattyville","Lee County","County","1971"
"Bowling Green","William F. Perry Monument","Monument","1973"
"Cadiz","Confederate Monument","Monument","1965"
"Confederate","City of Confederate","Municipality","N/A"
"Crab Orchard","Confederate Monument","Monument","1965"
"Cynthiana","Confederate Monument","Monument","1965"
"Danville","Confederate Monument","Monument","1910"
"Elkton","Jefferson Davis Highway","Road/Street/Highway","N/A"
"Elkton","Jefferson Davis Road","Road/Street/Highway","N/A"
"Eminence","Confederate Soldiers Martyrs Monument","Monument","1964"
"Erlanger","General Ross Drive","Road/Street/Highway","N/A"
"Erlanger","General Stuart Drive","Road/Street/Highway","N/A"
"Erlanger","Jefferson Davis Place","Road/Street/Highway","N/A"
"Erlanger","Robert E. Lee Drive","Road/Street/Highway","N/A"
"Fairview","Jefferson Davis Monument","Monument","1889"
"Fairview","Jefferson Davis State Historic Site","Park","1957"
"Frankfort","Confederate Memorial Day & Jefferson Davis Day (June 3, not state observed; listed in statutes)","Holiday","N/A"
"Frankfort","Robert E. Lee Day (January 19, Not state observed; listed in statutes)","Holiday","N/A"
"Frankfort","Jefferson Davis Statue","Monument/Gov.Property","1936"
"Fulton","Confederate Monument","Monument","1892"
"Georgetown","Confederate Monument","Monument","1892"
"Glasgow","Confederate Monument","Monument","1905"
"Hickman","Confederate Memorial Gateway","Monument","1965"
"Hopkinsville","Confederate Memorial Fountain","Monument","1916"
"Hopkinsville","Latham Confederate Monument","Monument","1997"
"Horse Cave","Unknown Confederate Soldier","Monument","1971"
"Jeffersontown","Confederate Martyrs Monument","Monument","1904"
"Lawrenceburg","Confederate Monument","Monument/Courthouse","1994"
"Lexington","John C. Breckinridge Memorial","Monument","1889"
"Lexington","John Hunt Morgan Memorial","Monument/Courthouse","1911"
"Lexington","Stonewall Elementary School","School","1961"
"Louisville","Confederate Monument","Monument","1895"
"Louisville","Confederate Monument","Monument","1902"
"Louisville","John B. Castleman Monument","Monument","1913"
"Madisonville","Jefferson Davis Drive","Road/Street/Highway","N/A"
"Mayfield","Confederate Memorial","Monument","N/A"
"Mayfield","Confederate Memorial Gates","Monument","1865"
"Mayfield","Jeff Davis Road","Road/Street/Highway","N/A"
"Morganfield","Confederate Monument","Monument","1902"
"Mt. Sterling","Confederate Monument","Monument","1902"
"Mundfordville","Colonel Robert A. Smith Monument","Monument","1863"
"Murray","Confederate Monument","Monument/Courthouse","1917"
"Nancy","General Felix K. Zollicoffer Monument","Monument","1973"
"Nicholasville","Confederate Memorial","Monument/Courthouse","1896 - 1995"
"Owensboro","Confederate Monument","Monument","1907"
"Paducah","Confederate Monument","Monument","1907"
"Paducah","Lloyd Tilghman Monument","Monument","1909"
"Perryville","Unknown Confederate Dead Monument","Monument","1862"
"Princeton","Confederate Soldier Monument","Monument/Courthouse","1912"
"Raywick","Robert Lee Road","Road/Street/Highway","N/A"
"Russellville","Confederate Monument","Monument","1911"
"Somerset","Battle of Dutton's Hill Monument","Monument","1974"
"St. Joseph","Thompson and Powell Martyrs Monument","Monument","1864"
"Versailles","Confederate Monument","Monument","1911"
"Water Valley","Camp Beauregard Memorial","Monument","1930"
