"Abbeville","Abbeville Confederate Monument","Monument","1906"
"Abbeville","First Secession Meeting Columns","Monument","1927"
"Aiken","Confederate Memorial","Monument","1901"
"Aiken","Beauregard Lane","Road/Street/Highway","N/A"
"Anderson","Our Confederate Dead","Monument/Courthouse","1901"
"Anderson","Beauregard Avenue","Road/Street/Highway","N/A"
"Anderson","Bonham Court","Road/Street/Highway","N/A"
"Bamberg","Bamberg County","Monument/Courthouse","1911"
"","Confederate Monument","",""
"Barnwell","Confederate Monument","Monument","N/A"
"Batesburg- Leesville","City of Batesburg-Leesville","Municipality","N/A"
"Beaufort","Beauregard Court","Road/Street/Highway","N/A"
"Bennettsville","Confederate Monument","Monument","1907"
"Bishopville","Lee County","County","1902"
"Bishopville","Monument to the Confederate Dead","Monument/Courthouse","1913"
"Bishopville","Lee Central High School","School","N/A"
"Bishopville","Lee Central Middle School","School","N/A"
"Bishopville","Lee County Career &","School","N/A"
"","Technology Center","",""
"Bishopville","Lee High School","School","N/A"
"Bluffton","Robert E. Lee Lane","Road/Street/Highway","N/A"
"Bradley","City of Bradley","Municipality","N/A"
"Camden","Confederate War Memorial","Monument","1883"
"Camden","Richard Kirkland Memorial Fountain","Monument","1911"
"Charleston","Confederate Memorial Day","Holiday (May 10)","N/A"
"","(State observed)","",""
"Charleston","Confederate Defenders","Monument","1932"
"","of Charleston","",""
"Charleston","Beauregard Street","Road/Street/Highway","N/A"
"Charleston","Robert E. Lee Boulevard","Road/Street/Highway","N/A"
"Chester","Chester Confederate Monument","Monument/Courthouse","1905"
"Clemson","Old Stone Church","Monument","N/A"
"","Confederate Memorial","",""
"Clinton","Clinton Confederate Monument","Monument","1910"
"Clinton","Beauregard Street","Road/Street/Highway","N/A"
"Clinton","Stonewall Street","Road/Street/Highway","N/A"
"Columbia","Longstreet Theater and Annex at","Building","1870"
"","the University of South Carolina","",""
"Columbia","Sons of Confederate Veterans Commemorative License Plate","Commemorative License Plate","N/A"
"Columbia","Monument to the South Carolina","Monument/Gov.Property","1912"
"","Women of the Confederacy","",""
"Columbia","South Carolina Confederate","Monument/Gov.Property","1879"
"","Monument","",""
"Columbia","Wade Hampton Confederate","Monument/Gov.Property","1906"
"","Monument","",""
"Columbia","Beauregard Street","Road/Street/Highway","N/A"
"Columbia","Bonham Road","Road/Street/Highway","N/A"
"Columbia","Bonham Street","Road/Street/Highway","N/A"
"Columbia","Confederate Avenue","Road/Street/Highway","N/A"
"Columbia","South Bonham Road","Road/Street/Highway","N/A"
"Conway","Our Confederate Dead Monument","Monument","N/A"
"Cowpens","Stonewall Drive","Road/Street/Highway","N/A"
"Cross Hill","Confederate Monument","Monument","1908"
"Darlington","Monument to the Confederate Dead","Monument/Courthouse","1880"
"Daufuskie Island","Beauregard Boulevard","Road/Street/Highway","N/A"
"Early Branch","Robert E. Lee Road","Road/Street/Highway","N/A"
"Easley","Stonewall Drive","Road/Street/Highway","N/A"
"Edgefield","Edgefield Confederate Monument","Monument/Courthouse","1900"
"Fort Mill","Catawba Indian Monument","Monument","1900"
"Fort Mill","Defenders of State Sovereignty","Monument","1891"
"Fort Mill","Faithful Slaves Monument","Monument","1895"
"Fort Mill","Women of the Confederacy","Monument","1895"
"","Memorial","",""
"Fort Mill","Confederate Park","Park","1891"
"Fort Mill","Confederate Street","Road/Street/Highway","N/A"
"Gaffney","Gaffney Confederate Monument","Monument","1922"
"Greenville","Stonewall Lane","Road/Street/Highway","N/A"
"Greenwood","Confederate Memorial","Monument/Courthouse","1903"
"Greenwood","Bonham Court","Road/Street/Highway","N/A"
"Greer","Beauregard Court","Road/Street/Highway","N/A"
"Hampton","Hampton County","County","1878"
"Hartsville","Stonewall Street","Road/Street/Highway","N/A"
"Honea Path","Beauregard Drive","Road/Street/Highway","N/A"
"Jonesville","Jonesville Confederate Monument","Monument","1907"
"Kershaw","City of Kershaw","Municipality","1888"
"Kingstree","Confederate Soldier,","Monument","1910"
"","Williamsburg  County","",""
"Lake City","Beauregard Street","Road/Street/Highway","N/A"
"Lancaster","Our Confederate Soldiers","Monument/Courthouse","1909"
"Lancaster","Confederate Avenue","Road/Street/Highway","N/A"
"Laurens","Laurens Confederate Monument","Monument","1910"
"Lexington","Lexington Confederate Monument","Monument/Courthouse","1886"
"Manning","Confederate Monument","Monument/Courthouse","1914"
"Marion","To the Dead and Living","Monument","1903"
"","Confederate Veterans","",""
"Modoc","Beauregard Drive","Road/Street/Highway","N/A"
"Moncks Corner","Berkeley County Confederate Monument","Monument","2011"
"Mountville","Jefferson Davis Road","Road/Street/Highway","N/A"
"Newberry","Newberry Confederate Monument","Monument","1880"
"North","Town of North","Municipality","1891"
"Orangeburg","Confederate Flag and Monument","Monument","2001"
"Orangeburg","Confederate Monument","Monument","1893"
"Orangeburg","Beauregard Street","Road/Street/Highway","N/A"
"Orangeburg","Robert E. Lee Street","Road/Street/Highway","N/A"
"Orangeburg","Stonewall Jackson Boulevard","Road/Street/Highway","N/A"
"Orangeburg","Stonewall Jackson Street Southwest","Road/Street/Highway","N/A"
"Prosperity","Confederate Veterans Monument","Monument","1928"
"Rock Hill","Ebenezer Confederate Monument","Monument","1908"
"Rock Hill","North Stonewall Street","Road/Street/Highway","N/A"
"Rock Hill","South Stonewall Street","Road/Street/Highway","N/A"
"Salem","Salem Confederate Monument","Monument","2004"
"Saluda","Bonham Avenue","Road/Street/Highway","N/A"
"Saluda","Bonham Road","Road/Street/Highway","N/A"
"Spartanburg","Confederate Soldier","Monument","1910"
"St. Matthews","“Lest We Forget”","Monument/Courthouse","1914"
"St. Matthews","Stonewall Lane","Road/Street/Highway","N/A"
"Summerville","Beauregard Court","Road/Street/Highway","N/A"
"Summerville","Stonewall Drive","Road/Street/Highway","N/A"
"Timmonsville","Robert E. Lee Avenue","Road/Street/Highway","N/A"
"Timmonsville","Stonewall Drive","Road/Street/Highway","N/A"
"Trenton","Thomas S. Jackson Road","Road/Street/Highway","N/A"
"Union","Union County Confederate Memorial","Monument/Courthouse","1907"
"Union","Bonham Station Road","Road/Street/Highway","N/A"
"Union","General Lee Drive","Road/Street/Highway","N/A"
"Wagener","Stonewall Jackson Road","Road/Street/Highway","N/A"
"Walhalla","Our Confederate Dead","Monument","1910"
"Walterboro","Confederate Monument","Monument/Courthouse","1911"
"Walterboro","Robert E. Lee Drive","Road/Street/Highway","N/A"
"Westminster","Westminster Confederate","Monument","1980"
"","Monument","",""
"Westminster","Stonewall Drive","Road/Street/Highway","N/A"
"Williamston","Confederate Monument","Monument","1942"
"Winnsboro","Confederate Memorial","Monument","1901"
"York","York County Confederate","Monument","1906"
"","Monument","",""
"Multiple Locations","Jefferson Davis Highway","Road/Street/Highway","N/A"
